// ROUTE SHEET exported by JRC ECDIS.
// <<NOTE>>This strings // indicate comment column/cells. You can edit freely.
// 111,<Normal>,
// WPT No.,LAT,,,LON,,,PORT[NM],STBD[NM],Arr. Rad[NM],Speed[kn],Sail(RL/GC),ROT[deg/min],Turn Rad[NM],Time Zone,,Name
000,01,16.708,N,103,53.714,E,***,***,***,***,***,***,***,08:00,W,EASTERN AEW
001,01,16.674,N,103,55.412,E,0.10,0.10,0.50,006.0,RL,11.46,0.50,08:00,W,
002,01,16.116,N,103,56.218,E,0.10,0.10,0.50,006.0,RL,11.46,0.50,08:00,W,
003,01,15.418,N,103,56.962,E,0.10,0.10,0.50,006.0,RL,11.46,0.50,08:00,W,EASTERN PEBGB
004,01,14.282,N,103,56.349,E,0.10,0.10,0.50,012.0,RL,22.92,0.50,08:00,W,
005,01,12.319,N,103,52.126,E,0.10,0.10,0.50,012.0,RL,22.92,0.50,08:00,W,
006,01,11.347,N,103,50.150,E,0.10,0.10,0.50,012.0,RL,22.92,0.50,08:00,W,
007,01,10.389,N,103,47.767,E,0.10,0.10,0.50,012.0,RL,22.92,0.50,08:00,W,
008,01,08.225,N,103,44.133,E,0.10,0.10,0.50,012.0,RL,22.92,0.50,08:00,W,
009,01,10.847,N,103,39.897,E,0.10,0.10,0.50,012.0,RL,22.92,0.50,08:00,W,
010,01,13.396,N,103,28.516,E,0.10,0.10,0.50,012.0,RL,22.92,0.50,08:00,W,
011,01,14.598,N,103,24.432,E,0.10,0.10,0.50,012.0,RL,22.92,0.50,08:00,W,
012,01,24.664,N,103,10.818,E,0.10,0.10,0.50,012.0,RL,22.92,0.50,08:00,W,
013,01,38.810,N,102,51.830,E,0.10,0.10,0.50,012.0,RL,22.92,0.50,08:00,W,
014,01,56.476,N,102,15.647,E,0.10,0.10,0.50,012.0,RL,22.92,0.50,08:00,W,
015,02,10.786,N,101,59.763,E,0.10,0.10,0.50,012.0,RL,22.92,0.50,08:00,W,
016,02,28.086,N,101,37.877,E,0.10,0.10,0.50,012.0,RL,22.92,0.50,08:00,W,
017,02,36.279,N,101,27.210,E,0.10,0.10,0.50,012.0,RL,22.92,0.50,08:00,W,
018,02,49.711,N,101,00.379,E,0.10,0.10,0.50,012.0,RL,22.92,0.50,08:00,W,
019,02,53.478,N,100,56.480,E,0.10,0.10,0.50,012.0,RL,22.92,0.50,08:00,W,
020,03,01.615,N,100,47.983,E,0.10,0.10,0.50,012.0,RL,22.92,0.50,07:00,W,
021,05,51.403,N,097,55.511,E,0.50,0.50,0.50,012.0,RL,22.92,0.50,07:00,W,
022,06,19.246,N,095,02.553,E,0.50,0.50,0.50,012.0,RL,22.92,0.50,07:00,W,
023,05,39.404,N,093,52.387,E,1.00,1.00,0.50,012.0,RL,22.92,0.50,07:00,W,
024,20,23.388,S,063,59.704,E,1.00,1.00,0.50,012.0,RL,22.92,0.50,04:00,W,
025,34,39.064,S,024,34.441,E,1.00,1.00,0.50,012.0,RL,22.92,0.50,02:00,W,
026,34,46.203,S,022,20.074,E,0.50,0.50,0.50,012.0,RL,22.92,0.50,02:00,W,
027,34,57.412,S,020,43.921,E,0.50,0.50,0.50,012.0,RL,22.92,0.50,02:00,W,
028,35,07.451,S,019,55.971,E,0.50,0.50,0.50,012.0,RL,22.92,0.50,02:00,W,
029,34,43.708,S,053,42.913,W,1.00,1.00,0.50,012.0,RL,22.92,0.50,03:00,E,
030,34,47.840,S,053,59.983,W,0.50,0.50,0.50,012.0,RL,22.92,0.50,03:00,E,
031,35,02.743,S,054,30.196,W,0.50,0.50,0.50,012.0,RL,22.92,0.50,03:00,E,
032,35,04.304,S,055,41.497,W,0.50,0.50,0.50,010.0,RL,19.10,0.50,03:00,E,
033,35,04.318,S,055,50.845,W,0.10,0.10,0.50,004.0,RL,07.64,0.50,03:00,E,
034,35,04.000,S,055,59.000,W,0.10,0.10,0.50,004.0,RL,07.64,0.50,03:00,E,MONTEVIDEO P/S
035,35,01.801,S,056,00.329,W,0.10,0.10,0.50,008.0,RL,15.28,0.50,03:00,E,
036,35,01.205,S,056,03.438,W,0.03,0.03,0.50,008.0,RL,15.28,0.50,03:00,E,
037,35,00.767,S,056,05.665,W,0.03,0.03,0.50,008.0,RL,15.28,0.50,03:00,E,
038,35,00.091,S,056,11.480,W,0.03,0.03,0.50,008.0,RL,15.28,0.50,03:00,E,
039,34,59.652,S,056,12.418,W,0.03,0.03,0.50,008.0,RL,15.28,0.50,03:00,E,
040,34,59.011,S,056,13.094,W,0.03,0.03,0.50,008.0,RL,15.28,0.50,03:00,E,
041,34,58.190,S,056,13.494,W,0.03,0.03,0.50,008.0,RL,15.28,0.50,03:00,E,
042,34,54.788,S,056,13.482,W,0.03,0.03,0.50,008.0,RL,15.28,0.50,03:00,E,
043,34,54.171,S,056,13.566,W,0.03,0.03,0.20,007.0,RL,33.42,0.20,03:00,E,
044,34,54.059,S,056,12.921,W,0.03,0.03,0.20,006.0,RL,28.65,0.20,03:00,E,
045,34,53.920,S,056,12.518,W,0.03,0.03,0.20,003.0,RL,14.32,0.20,03:00,E,
046,34,53.701,S,056,12.017,W,0.03,0.03,0.20,001.0,RL,04.77,0.20,03:00,E,
